"Name","Full Ticker","Ticker","P/E Ratio"
"Cowell e Holdings Inc.","SEHK:1415",1415,11.0779
"Tianjin Port Development Holdings Limited","SEHK:3382",3382,11.9488
"Far East Horizon Limited","SEHK:3360",3360,6.9834
"Safety Godown Company, Limited","SEHK:237",237,-3.8139
"Ju Teng International Holdings Limited","SEHK:3336",3336,5.3203
"Luks Group (Vietnam Holdings) Company Limited","SEHK:366",366,6.6567
"Lippo Limited","SEHK:226",226,-1.541
"Postal Savings Bank of China Co., Ltd.","SEHK:1658",1658,9.1037
"Guotai Junan International Holdings Limited","SEHK:1788",1788,15.2278
"Miramar Hotel and Investment Company, Limited","SEHK:71",71,14.9397
"Ping An of China Trust - Ping An of China CSI HK Dividend ETF","SEHK:3070",3070,
"COSCO SHIPPING Development Co., Ltd.","SEHK:2866",2866,11.7437
"Kunlun Energy Company Limited","SEHK:135",135,11.1496
"Tian Teck Land Limited","SEHK:266",266,-4.1264
"Yun Lee Marine Group Holdings Limited","SEHK:2682",2682,11.698
"Chinney Alliance Group Limited","SEHK:385",385,6.3433
"Hang Lung Properties Limited","SEHK:101",101,-36.3883
"Everbright Grand China Assets Limited","SEHK:3699",3699,6.5752
"Perfect Shape Medical Limited","SEHK:1830",1830,22.5321
"Expert Systems Holdings Limited","SEHK:8319",8319,4.8728
"Uni-President China Holdings Ltd","SEHK:220",220,23.1456
"CPMC Holdings Limited","SEHK:906",906,12.1864
"Wharf Real Estate Investment Company Limited","SEHK:1997",1997,-18.9082
"Beijing Jingneng Clean Energy Co., Limited","SEHK:579",579,6.8485
"Cteh Inc.","SEHK:1620",1620,17.4506
"Hang Seng Bank Limited","SEHK:11",11,18.1773
"Jilin Province Huinan Changlong Bio-pharmacy Company Limited","SEHK:8049",8049,3.7405
"IBI Group Holdings Limited","SEHK:1547",1547,12.4655
"Oriental Press Group Limited","SEHK:18",18,33.1171
"CRCC High-Tech Equipment Corporation Limited","SEHK:1786",1786,873.3326
"Datang Environment Industry Group Co., Ltd.","SEHK:1272",1272,13.1366
"Four Seas Mercantile Holdings Limited","SEHK:374",374,-113.8115
"Xtep International Holdings Limited","SEHK:1368",1368,14.7208
"Dream International Limited","SEHK:1126",1126,4.757
"Swire Properties Limited","SEHK:1972",1972,26.3191
"Luk Fook Holdings (International) Limited","SEHK:590",590,18.4247
"Watts International Maritime Engineering Limited","SEHK:2258",2258,5.436
"Xingfa Aluminium Holdings Limited","SEHK:98",98,4.4412
"China Everbright Limited","SEHK:165",165,15.4033
"China Tian Lun Gas Holdings Limited","SEHK:1600",1600,7.866
"Golden Resources Development International Limited","SEHK:677",677,-65.4592
"Hopson Development Holdings Limited","SEHK:754",754,4.6094
"Seazen Group Limited","SEHK:1030",1030,6.0227
"China BlueChemical Ltd.","SEHK:3983",3983,15.4511
"Sinopharm Group Co., Ltd.","SEHK:1099",1099,7.115
"China Galaxy Securities Co., Ltd.","SEHK:6881",6881,11.8445
"TK Group (Holdings) Limited","SEHK:2283",2283,11.0234
"Ching Lee Holdings Limited","SEHK:3728",3728,13.3095
"Modern Dental Group Limited","SEHK:3600",3600,-20.4093
"Honma Golf Limited","SEHK:6858",6858,-34.1585
"Sinic Holdings (Group) Company Limited","SEHK:2103",2103,5.0622
"New Century Real Estate Investment Trust","SEHK:1275",1275,-3.1525
"Dynagreen Environmental Protection Group Co., Ltd.","SEHK:1330",1330,17.6824
"Associated International Hotels Limited","SEHK:105",105,-4.2429
"Jiayuan International Group Limited","SEHK:2768",2768,4.7583
"Dragon Crown Group Holdings Limited","SEHK:935",935,17.9613
"China Renewable Energy Investment Limited","SEHK:987",987,10.6324
"BOC Aviation Limited","SEHK:2588",2588,9.4966
"Haitong International Securities Group Limited","SEHK:665",665,14.0762
"China Pacific Insurance (Group) Co., Ltd.","SEHK:2601",2601,15.0891
"Wah Sun Handbags International Holdings Limited","SEHK:2683",2683,-8.0745
"Emperor Entertainment Hotel Limited","SEHK:296",296,-28.365
"Tianjin Capital Environmental Protection Group Company Limited","SEHK:1065",1065,13.5186
"CSOP ETF Series II - CSOP China 5-Year Treasury Bond ETF","SEHK:3199",3199,
"Dongguang Chemical Limited","SEHK:1702",1702,8.4726
"CSOP ETF Series II - CSOP China 5-Year Treasury Bond ETF","SEHK:83199",83199,
"IGG Inc","SEHK:799",799,8.2006
"Regal Hotels International Holdings Limited","SEHK:78",78,-3.1035
"Metallurgical Corporation of China Ltd.","SEHK:1618",1618,10.6751
"China Merchants Securities Co., Ltd.","SEHK:6099",6099,19.2093
"Maanshan Iron & Steel Company Limited","SEHK:323",323,16.5662
"Ausupreme International Holdings Limited","SEHK:2031",2031,37.2334
"Tenfu (Cayman) Holdings Company Limited","SEHK:6868",6868,20.4427
"BMO ETF - BMO MSCI Asia Pacific Real Estate ETF","SEHK:3121",3121,
"Hisense Home Appliances Group Co., Ltd.","SEHK:921",921,12.6041
"HKC (Holdings) Limited","SEHK:190",190,20.5891
"Wisdom Education International Holdings Company Limited","SEHK:6068",6068,13.1772
"Weiqiao Textile Company Limited","SEHK:2698",2698,13.2825
"China Vanke Co., Ltd.","SEHK:2202",2202,9.0218
"MOBI Development Co., Ltd.","SEHK:947",947,17.1788
"Nanyang Holdings Limited","SEHK:212",212,-38.9875
"Precision Tsugami (China) Corporation Limited","SEHK:1651",1651,13.4006
"Shanghai Pharmaceuticals Holding Co., Ltd","SEHK:2607",2607,11.0579
"Kam Hing International Holdings Limited","SEHK:2307",2307,-17.9365
"CITIC Securities Company Limited","SEHK:6030",6030,21.3459
"Zhong Ao Home Group Limited","SEHK:1538",1538,4.961
"HKR International Limited","SEHK:480",480,4.0297
"National Electronics Holdings Limited","SEHK:213",213,7.5708
"Golden Wheel Tiandi Holdings Company Limited","SEHK:1232",1232,-5.5119
"Best Pacific International Holdings Limited","SEHK:2111",2111,7.0574
"China Resources Land Limited","SEHK:1109",1109,7.9578
"Zhejiang Cangnan Instrument Group Company Limited","SEHK:1743",1743,11.467
"Lee and Man Paper Manufacturing Limited","SEHK:2314",2314,10.898
"Tong Ren Tang Technologies Co. Ltd.","SEHK:1666",1666,18.2176
"Dongyue Group Limited","SEHK:189",189,10.5998
"Orient Securities Company Limited","SEHK:3958",3958,23.1908
"Kingworld Medicines Group Limited","SEHK:1110",1110,18.2964
"China South City Holdings Limited","SEHK:1668",1668,2.8611
"Chuang's China Investments Limited","SEHK:298",298,5.0394
"E. Bon Holdings Limited","SEHK:599",599,19.6295
"IWS Group Holdings Limited","SEHK:8441",8441,9.4593
"Yangtze Optical Fibre And Cable Joint Stock Limited Company","SEHK:6869",6869,22.4241
"Greentown China Holdings Limited","SEHK:3900",3900,19.6193
"JY Grandmark Holdings Limited","SEHK:2231",2231,8.0338
"The Cross-Harbour (Holdings) Limited","SEHK:32",32,10.8958
"Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited","SEHK:874",874,16.6076
"Smart-Core Holdings Limited","SEHK:2166",2166,10.5491
"Chen Hsong Holdings Limited","SEHK:57",57,12.9206
"Zhongzhi Pharmaceutical Holdings Limited","SEHK:3737",3737,9.8559
"China National Building Material Company Limited","SEHK:3323",3323,6.8126
"Melbourne Enterprises Limited","SEHK:158",158,-3.3637
"Pokfulam Development Company Limited","SEHK:225",225,-22.208
"Dongfang Electric Corporation Limited","SEHK:1072",1072,22.5141
"China Unicom (Hong Kong) Limited","SEHK:762",762,10.4314
"China New Town Development Company Limited","SEHK:1278",1278,-4.2288
"Brilliance China Automotive Holdings Limited","SEHK:1114",1114,3.6856
"Tianyun International Holdings Limited","SEHK:6836",6836,8.4385
"Kaisa Group Holdings Ltd.","SEHK:1638",1638,4.4918
"Dongwu Cement International Limited","SEHK:695",695,17.1937
"Medialink Group Limited","SEHK:2230",2230,8.3057
"Legend Holdings Corporation","SEHK:3396",3396,12.9064
"Bestway Global Holding Inc.","SEHK:3358",3358,8.6932
"Xinyi Energy Holdings Limited","SEHK:3868",3868,32.9013
"Bank of Guizhou Co., Ltd.","SEHK:6199",6199,8.1988
"Modern Living Investments Holdings Limited","SEHK:8426",8426,6.8748
"The Hong Kong and China Gas Company Limited","SEHK:3",3,36.1417
"China Leon Inspection Holding Limited","SEHK:1586",1586,13.6989
"Lam Soon (Hong Kong) Limited","SEHK:411",411,9.9956
"Dongjiang Environmental Company Limited","SEHK:895",895,19.6324
"Jacobson Pharma Corporation Limited","SEHK:2633",2633,10.9106
"Shanghai Dazhong Public Utilities(Group) Co.,Ltd.","SEHK:1635",1635,24.5259
"China Medical System Holdings Limited","SEHK:867",867,12.1603
"Chinney Investments, Limited","SEHK:216",216,-6.9819
"Kingmaker Footwear Holdings Limited","SEHK:1170",1170,13.6287
"Tonly Electronics Holdings Limited","SEHK:1249",1249,13.5285
"Intel Corporation","SEHK:4335",4335,11.7424
"Longfor Group Holdings Limited","SEHK:960",960,12.472
"Vinda International Holdings Limited","SEHK:3331",3331,14.9437
"Regina Miracle International (Holdings) Limited","SEHK:2199",2199,25.623
"China Aerospace International Holdings Limited","SEHK:31",31,6.5614
"China Risun Group Limited","SEHK:1907",1907,20.2355
"Vanguard ETF Series - Vanguard FTSE Asia ex Japan High Dividend Yield Index ETF","SEHK:3085",3085,
"Vanguard ETF Series - Vanguard FTSE Asia ex Japan High Dividend Yield Index ETF","SEHK:83085",83085,
"Vanguard ETF Series - Vanguard FTSE Asia ex Japan High Dividend Yield Index ETF","SEHK:9085",9085,
"Nine Dragons Paper (Holdings) Limited","SEHK:2689",2689,8.3798
"Chow Sang Sang Holdings International Limited","SEHK:116",116,30.3805
"Hongkong Chinese Limited","SEHK:655",655,-2.4281
"China Singyes New Materials Holdings Limited","SEHK:8073",8073,14.6577
"BMO ETF - BMO Asia USD Investment Grade Bond ETF","SEHK:9141",9141,
"BMO ETF - BMO Asia USD Investment Grade Bond ETF","SEHK:3141",3141,
"Kingboard Laminates Holdings Limited","SEHK:1888",1888,20.2126
"Texwinca Holdings Limited","SEHK:321",321,25.0697
"Computime Group Limited","SEHK:320",320,-104.1193
"Royal Deluxe Holdings Limited","SEHK:3789",3789,5.6658
"Bosideng International Holdings Limited","SEHK:3998",3998,21.7909
"New Universe Environmental Group Limited","SEHK:436",436,9.7875
"Century City International Holdings Limited","SEHK:355",355,-4.7329
"Alpha Era International Holdings Limited","SEHK:8406",8406,5.9034
"China 21st Century Education Group Limited","SEHK:1598",1598,10.8105
"Liaoning Port Co.,Ltd.","SEHK:2880",2880,38.6555
"CSC Financial Co., Ltd.","SEHK:6066",6066,24.618
"Golik Holdings Limited","SEHK:1118",1118,13.4912
"SJM Holdings Limited","SEHK:880",880,-21.587
"Lenovo Group Limited","SEHK:992",992,16.5862
"Honworld Group Limited","SEHK:2226",2226,9.4759
"S.A.I. Leisure Group Company Limited","SEHK:1832",1832,7.0041
"Amgen Inc.","SEHK:4332",4332,17.8836
"Ten Pao Group Holdings Limited","SEHK:1979",1979,11.4329
"China Starch Holdings Limited","SEHK:3838",3838,6.8064
"Xinyuan Property Management Service (Cayman) Ltd.","SEHK:1895",1895,7.5697
"Ocean One Holding Ltd.","SEHK:8476",8476,8.7083
"China Lesso Group Holdings Limited","SEHK:2128",2128,11.7605
"Guangzhou Automobile Group Co., Ltd.","SEHK:2238",2238,17.6061
"Shenwan Hongyuan (H.K.) Limited","SEHK:218",218,12.783
"MTR Corporation Limited","SEHK:66",66,48.3978
"China YuHua Education Corporation Limited","SEHK:6169",6169,86.3972
"Texhong Textile Group Limited","SEHK:2678",2678,20.1599
"Great Wall Motor Company Limited","SEHK:2333",2333,46.457
"Min Xin Holdings Limited","SEHK:222",222,4.3952
"LVGEM (China) Real Estate Investment Company Limited","SEHK:95",95,12.266
"Chow Tai Fook Jewellery Group Limited","SEHK:1929",1929,29.6634
"BMO ETF - BMO Asia High Dividend ETF","SEHK:3145",3145,
"Yeebo (International Holdings) Limited","SEHK:259",259,13.5189
"China High Speed Transmission Equipment Group Co., Ltd.","SEHK:658",658,21.3023
"ASM Pacific Technology Limited","SEHK:522",522,58.1128
"Shandong Xinhua Pharmaceutical Company Limited","SEHK:719",719,14.7612
"China Electronics Huada Technology Company Limited","SEHK:85",85,12.1408
"NetDragon Websoft Holdings Limited","SEHK:777",777,12.5082
"Sun.King Technology Group Limited","SEHK:580",580,23.6302
"Chaowei Power Holdings Limited","SEHK:951",951,4.646
"Keck Seng Investments (Hong Kong) Limited","SEHK:184",184,-4.8968
"SSY Group Limited","SEHK:2005",2005,14.9017
"Tianneng Power International Limited","SEHK:819",819,7.6254
"China Xinhua Education Group Limited","SEHK:2779",2779,10.8688
"Tracker Fund Of Hong Kong","SEHK:2800",2800,
"E-House (China) Enterprise Holdings Limited","SEHK:2048",2048,32.1444
"Xin Point Holdings Limited","SEHK:1571",1571,20.926
"Sang Hing Holdings (International) Limited","SEHK:1472",1472,8.8693
"World-Link Logistics (Asia) Holding Limited","SEHK:6083",6083,8.2874
"Ziyuanyuan Holdings Group Limited","SEHK:8223",8223,30.4772
"BAIOO Family Interactive Limited","SEHK:2100",2100,16.3135
"Tianjin Tianbao Energy Co., Ltd.","SEHK:1671",1671,15.3397
"Prinx Chengshan (Cayman) Holding Limited","SEHK:1809",1809,8.8594
"Zhejiang New Century Hotel Management Co., Ltd.","SEHK:1158",1158,142.5335
"ManpowerGroup Greater China Limited","SEHK:2180",2180,15.2316
"Wong's International Holdings Limited","SEHK:99",99,-1.5891
"Hang Seng Investment Series - Hang Seng Index Fund","SEHK:82833",82833,
"Taste Gourmet Group Limited","SEHK:8371",8371,24.5852
"Hang Seng Investment Index Funds Series II - Hang Seng Index ETF","SEHK:2833",2833,
"Luye Pharma Group Ltd.","SEHK:2186",2186,12.0299
"AMUNDI ETF Series - AMUNDI Hang Seng HK 35 Index ETF","SEHK:3012",3012,
"AMUNDI ETF Series - AMUNDI Hang Seng HK 35 Index ETF","SEHK:83012",83012,
"Canvest Environmental Protection Group Company Limited","SEHK:1381",1381,8.0668
"Skyfame Realty (Holdings) Limited","SEHK:59",59,8.6454
"Hang Seng Investment Index Funds Series - Hang Seng H-Share Index ETF","SEHK:82828",82828,
"Jiangsu Innovative Ecological New Materials Limited","SEHK:2116",2116,6.3013
"China Nonferrous Mining Corporation Limited","SEHK:1258",1258,14.0982
"China Yongda Automobiles Services Holdings Limited","SEHK:3669",3669,14.6149
"Home Control International Limited","SEHK:1747",1747,10.5549
"Hang Seng Investment Index Funds Series - Hang Seng H-Share Index ETF","SEHK:2828",2828,
"Paliburg Holdings Limited","SEHK:617",617,-5.8561
"Kingboard Holdings Limited","SEHK:148",148,14.536
"Victory Securities (Holdings) Company Limited","SEHK:8540",8540,13.6088
"VSTECS Holdings Limited","SEHK:856",856,12.8651
"CMBC Capital Holdings Limited","SEHK:1141",1141,22.2647
"Sino Hotels (Holdings) Limited","SEHK:1221",1221,-39.2045
"SITC International Holdings Company Limited","SEHK:1308",1308,30.4408
"Sichuan Languang Justbon Services Group Co., Ltd.","SEHK:2606",2606,11.9173
"SUNeVision Holdings Ltd.","SEHK:1686",1686,41.7735
"Yau Lee Holdings Limited","SEHK:406",406,18.6
"The Bank of East Asia, Limited","SEHK:23",23,17.4881
"Matrix Holdings Limited","SEHK:1005",1005,-84.338
"Premia Etf Series - Dow Jones Emerging Asian Titans 100 Etf","SEHK:9810",9810,
"BExcellent Group Holdings Limited","SEHK:1775",1775,-11.5705
"Tsim Sha Tsui Properties Limited","SEHK:247",247,52.2838
"China Resources Gas Group Limited","SEHK:1193",1193,19.8738
"Nexteer Automotive Group Limited","SEHK:1316",1316,32.5972
"China Harmony Auto Holding Limited","SEHK:3836",3836,9.347
"Sun Art Retail Group Limited","SEHK:6808",6808,18.6641
"Tang Palace (China) Holdings Limited","SEHK:1181",1181,-31.8608
"Styland Holdings Limited","SEHK:211",211,-4.429
"IVD Medical Holding Limited","SEHK:1931",1931,176.609
"China Asset Management company Bloomberg Barclays China Treasury Policy Bank bond index ETF","SEHK:82813",82813,
"China Traditional Chinese Medicine Holdings Co. Limited","SEHK:570",570,13.342
"China Asset Management company Bloomberg Barclays China Treasury Policy Bank bond index ETF","SEHK:2813",2813,
"China Merchants Bank Co., Ltd.","SEHK:3968",3968,13.1626
"China Resources Pharmaceutical Group Limited","SEHK:3320",3320,11.0179
"SinoMedia Holding Limited","SEHK:623",623,2.7206
"Beijing Tong Ren Tang Chinese Medicine Company Limited","SEHK:3613",3613,20.6846
"Yangzhou Guangling District Taihe Rural Micro-finance Company Limited","SEHK:1915",1915,18.6222
"Xiamen International Port Co., Ltd","SEHK:3378",3378,10.0895
"Soundwill Holdings Limited","SEHK:878",878,-3.7476
"Mobicon Group Limited","SEHK:1213",1213,16.619
"Guoco Group Limited","SEHK:53",53,-33.332
"Asia Allied Infrastructure Holdings Limited","SEHK:711",711,13.3907
"China XLX Fertiliser Ltd.","SEHK:1866",1866,17.9471
"Binhai Investment Company Limited","SEHK:2886",2886,14.1514
"Asiasec Properties Limited","SEHK:271",271,2473.0942
"China Boqi Environmental (Holding) Co., Ltd.","SEHK:2377",2377,6.2617
"CSI Properties Limited","SEHK:497",497,-57.5879
"IMAX China Holding, Inc.","SEHK:1970",1970,-42.1373
"SANVO Fine Chemicals Group Limited","SEHK:301",301,18.7611
"ABF Pan Asia Bond Index Fund","SEHK:2821",2821,
"Shandong Chenming Paper Holdings Limited","SEHK:1812",1812,60.0056
"Smart Globe Holdings Limited","SEHK:1481",1481,10.9884
"Sunfonda Group Holdings Limited","SEHK:1771",1771,9.8168
"Hang Seng China A Share ETF Series - Hang Seng China A Industry Top Index ETF","SEHK:3128",3128,
"Hang Seng China A Share ETF Series - Hang Seng China A Industry Top Index ETF","SEHK:83128",83128,
"Pico Far East Holdings Limited","SEHK:752",752,31.3581
"CSPC Pharmaceutical Group Limited","SEHK:1093",1093,18.2102
"Xinyi Glass Holdings Limited","SEHK:868",868,23.4679
"CSOP ETF Series - CSOP FTSE China A50 ETF","SEHK:2822",2822,
"CSOP ETF Series - CSOP FTSE China A50 ETF","SEHK:82822",82822,
"China Aluminum Cans Holdings Limited","SEHK:6898",6898,27.5921
"Zhenro Properties Group Limited","SEHK:6158",6158,7.5426
"China Oilfield Services Limited","SEHK:2883",2883,27.5418
"Impro Precision Industries Limited","SEHK:1286",1286,-172.1697
"Asiainfo Technologies Limited","SEHK:1675",1675,16.2037
"Lai Si Enterprise Holding Limited","SEHK:2266",2266,-17.5636
"Aoyuan Healthy Life Group Company Limited","SEHK:3662",3662,16.5617
"Hang Seng Investment Index Funds Series III - Hang Seng FTSE China 50 Index ETF","SEHK:2838",2838,
"Kerry Logistics Network Limited","SEHK:636",636,19.8783
"Minsheng Education Group Company Limited","SEHK:1569",1569,14.0138
"China Conch Venture Holdings Limited","SEHK:586",586,7.3233
"Zoomlion Heavy Industry Science and Technology Co., Ltd.","SEHK:1157",1157,17.1035
"China Kepei Education Group Limited","SEHK:1890",1890,16.4839
"Topsports International Holdings Limited","SEHK:6110",6110,27.1895
"Nissin Foods Company Limited","SEHK:1475",1475,22.2454
"Hebei Yichen Industrial Group Corporation Limited","SEHK:1596",1596,12.272
"Evergreen Products Group Limited","SEHK:1962",1962,22.0145
"Chanjet Information Technology Company Limited","SEHK:1588",1588,224.4306
"Essex Bio-Technology Limited","SEHK:1061",1061,11.7866
"China Education Group Holdings Limited","SEHK:839",839,45.6508
"Premia ETF Series - Premia CSI Caixin China Bedrock Economy ETF","SEHK:2803",2803,
"Premia ETF Series - Premia CSI Caixin China Bedrock Economy ETF","SEHK:9803",9803,
"Automated Systems Holdings Limited","SEHK:771",771,19.7845
"China Datang Corporation Renewable Power Co., Limited","SEHK:1798",1798,8.7252
"Minth Group Limited","SEHK:425",425,28.9393
"Ausnutria Dairy Corporation Ltd","SEHK:1717",1717,17.3073
"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.","SEHK:1349",1349,62.3333
"Ping An of China Trust - Ping An of China CSI 5-10Y CGB ETF","SEHK:3080",3080,
"Tokyo Chuo Auction Holdings Limited","SEHK:1939",1939,-97.3451
"Tongda Group Holdings Limited","SEHK:698",698,34.4387
"Sisram Medical Ltd","SEHK:1696",1696,27.4213
"Microsoft Corporation","SEHK:4338",4338,33.6599
"Edvance International Holdings Limited","SEHK:1410",1410,20.5496
"Digital China Holdings Limited","SEHK:861",861,17.5244
"Fuyao Glass Industry Group Co., Ltd.","SEHK:3606",3606,53.6999
"Winfair Investment Company Limited","SEHK:287",287,-4.3911
"PAX Global Technology Limited","SEHK:327",327,11.943
"China Taiping Insurance Holdings Company Limited","SEHK:966",966,12.1266
"Chongqing Machinery & Electric Co., Ltd.","SEHK:2722",2722,14.9085
"Cheuk Nang (Holdings) Limited","SEHK:131",131,40.7786
"iShares Asia Trust - iShares Core MSCI Taiwan Index ETF","SEHK:9074",9074,
"iShares Asia Trust - iShares Core MSCI Taiwan Index ETF","SEHK:83074",83074,
"iShares Asia Trust - iShares Core MSCI Taiwan Index ETF","SEHK:3074",3074,
"Somerley Capital Holdings Limited","SEHK:8439",8439,1355.0569
"China New Higher Education Group Limited","SEHK:2001",2001,23.0407
"VPower Group International Holdings Limited","SEHK:1608",1608,14.5628
"Jiangxi Bank Co., Ltd.","SEHK:1916",1916,9.7928
"TravelSky Technology Limited","SEHK:696",696,60.1731
"China MeiDong Auto Holdings Limited","SEHK:1268",1268,49.7105
"China Gas Holdings Limited","SEHK:384",384,17.1364
"Poly Culture Group Corporation Limited","SEHK:3636",3636,-2.8009
"Kingston Financial Group Limited","SEHK:1031",1031,57.1456
"Top Spring International Holdings Limited","SEHK:3688",3688,-2.9056
"Hung Fook Tong Group Holdings Limited","SEHK:1446",1446,12.8846
"Angang Steel Company Limited","SEHK:347",347,22.0215
"DaFa Properties Group Limited","SEHK:6111",6111,13.7212
"Leoch International Technology Limited","SEHK:842",842,21.9522
"i-Control Holdings Limited","SEHK:1402",1402,50.0637
"Vanguard ETF Series - Vanguard FTSE Japan Index ETF","SEHK:3126",3126,
"Haitian International Holdings Limited","SEHK:1882",1882,19.0137
"Vanguard ETF Series - Vanguard FTSE Japan Index ETF","SEHK:9126",9126,
"Vanguard ETF Series - Vanguard FTSE Japan Index ETF","SEHK:83126",83126,
"Value Partners Group Limited","SEHK:806",806,25.8158
"The Hongkong and Shanghai Hotels, Limited","SEHK:45",45,-13.9263
"Prudential plc","SEHK:2378",2378,39.7918
"iShares Asia Trust - iShares FTSE A50 China Index ETF","SEHK:82823",82823,
"iShares Asia Trust - iShares FTSE A50 China Index ETF","SEHK:2823",2823,
"Suchuang Gas Corporation Limited","SEHK:1430",1430,22.5089
"Tai Hing Group Holdings Limited","SEHK:6811",6811,56.975
"Union Medical Healthcare Limited","SEHK:2138",2138,58.4656
"China Foods Limited","SEHK:506",506,17.0886
"China Grand Pharmaceutical and Healthcare Holdings Limited","SEHK:512",512,16.8554
"Sinotruk (Hong Kong) Limited","SEHK:3808",3808,15.3065
"Scholar Education Group","SEHK:1769",1769,47.9623
"Shandong Weigao Group Medical Polymer Company Limited","SEHK:1066",1066,26.9845
"A-Living Smart City Services Co., Ltd.","SEHK:3319",3319,24.9988
"B & S International Holdings Ltd.","SEHK:1705",1705,35.2058
"Asia Financial Holdings Limited","SEHK:662",662,28.7448
"Shinelong Automotive Lightweight Application Limited","SEHK:1930",1930,6.1733
"Binjiang Service Group Co. Ltd.","SEHK:3316",3316,21.1474
"Hengxin Technology Ltd.","SEHK:1085",1085,10.8037
"Wharf (Holdings) Limited","SEHK:4",4,-70.597
"EEKA Fashion Holdings Limited","SEHK:3709",3709,15.0589
"Applied Materials, Inc.","SEHK:4336",4336,27.1063
"China Huarong Asset Management Co., Ltd.","SEHK:2799",2799,-34.1837
"Chuang's Consortium International Limited","SEHK:367",367,-2.6019
"SiS International Holdings Limited","SEHK:529",529,-1.0021
"Zhengzhou Coal Mining Machinery Group Company Limited","SEHK:564",564,22.3036
"Steve Leung Design Group Limited","SEHK:2262",2262,19.893
"CGN Mining Company Limited","SEHK:1164",1164,23.7321
"Zhuzhou CRRC Times Electric Co., Ltd.","SEHK:3898",3898,12.5183
"China Resources Medical Holdings Company Limited","SEHK:1515",1515,22.6147
"ENN Energy Holdings Limited","SEHK:2688",2688,22.1563
"BMO ETF - BMO MSCI Japan Hedged to USD ETF","SEHK:3160",3160,
"China Tower Corporation Limited","SEHK:788",788,29.7334
"Amundi FTSE China A50 Index ETF","SEHK:2843",2843,
"Amundi FTSE China A50 Index ETF","SEHK:82843",82843,
"MGM China Holdings Limited","SEHK:2282",2282,-25.7422
"Sany Heavy Equipment International Holdings Company Limited","SEHK:631",631,22.4177
"Weichai Power Co., Ltd.","SEHK:2338",2338,19.2349
"BMO ETF - BMO MSCI Europe Quality Hedged to USD ETF","SEHK:3165",3165,
"CSOP ETF Series - CSOP MSCI China A Inclusion Index ETF","SEHK:3149",3149,
"Vanguard ETF Series - Vanguard FTSE Asia Ex Japan Index ETF","SEHK:82805",82805,
"CSOP ETF Series - CSOP MSCI China A Inclusion Index ETF","SEHK:83149",83149,
"Vanguard ETF Series - Vanguard FTSE Asia Ex Japan Index ETF","SEHK:9805",9805,
"Vanguard ETF Series - Vanguard FTSE Asia Ex Japan Index ETF","SEHK:2805",2805,
"Tern Properties Company Limited","SEHK:277",277,-2.7017
"Asia Tele-Net and Technology Corporation Limited","SEHK:679",679,1.1435
"K W Nelson Interior Design and Contracting Group Limited","SEHK:8411",8411,10.459
"Edvantage Group Holdings Limited","SEHK:382",382,24.0806
"Bank of Jiujiang Co., Ltd.","SEHK:6190",6190,12.0843
"Tiangong International Company Limited","SEHK:826",826,21.8528
"Vanguard FTSE Developed Europe All Cap Index ETF","SEHK:3101",3101,
"COSCO SHIPPING Energy Transportation Co., Ltd.","SEHK:1138",1138,8.2896
"Vanguard ETF Series - Vanguard FTSE Developed Europe Index ETF","SEHK:9101",9101,
"Vanguard ETF Series - Vanguard FTSE Developed Europe Index ETF","SEHK:83101",83101,
"Pine Care Group Limited","SEHK:1989",1989,57.9167
"AIA Group Limited","SEHK:1299",1299,27.697
"The United Laboratories International Holdings Limited","SEHK:3933",3933,15.7479
"Holly Futures Co., Ltd.","SEHK:3678",3678,21.1309
"EFT Solutions Holdings Limited","SEHK:8062",8062,15.6032
"Redco Properties Group Limited","SEHK:1622",1622,6.9936
"Galaxy Entertainment Group Limited","SEHK:27",27,91.7587
"Upbest Group Limited","SEHK:335",335,48.2607
"Pizu Group Holdings Limited","SEHK:8053",8053,8.9124
"EVA Precision Industrial Holdings Limited","SEHK:838",838,-26.2663
"Man Wah Holdings Limited","SEHK:1999",1999,39.8779
"E Fund ETFs Trust - E Fund CSI 100 A-Share Index ETF","SEHK:83100",83100,
"E Fund ETFs Trust - E Fund CSI 100 A-Share Index ETF","SEHK:3100",3100,
"Shanghai Haohai Biological Technology Co., Ltd.","SEHK:6826",6826,87.0292
"iShares Asia Trust - iShares Core MSCI China Index ETF","SEHK:2801",2801,
"China East Education Holdings Limited","SEHK:667",667,41.7121
"Yusei Holdings Limited","SEHK:96",96,30.5582
"Top Education Group Ltd","SEHK:1752",1752,22.4921
"China Huirong Financial Holdings Limited","SEHK:1290",1290,48.0099
"Xtrackers - CSI300 Swap UCITS ETF","SEHK:3049",3049,
"Vanguard ETF Series - Vanguard Total China Index ETF","SEHK:83169",83169,
"Vanguard ETF Series - Vanguard Total China Index ETF","SEHK:9169",9169,
"Zhou Hei Ya International Holdings Company Limited","SEHK:1458",1458,121.748
"Grand Ming Group Holdings Limited","SEHK:1271",1271,166.7688
"Shenzhou International Group Holdings Limited","SEHK:2313",2313,39.0233
"KangLi International Holdings Limited","SEHK:6890",6890,15.9512
"Vanguard ETF Series - Vanguard Total China Index ETF","SEHK:3169",3169,
